no_of_rooms,area_in_m2,locality,price_in_kc
4+kk,104m²,Praha 8,13739348
3+kk,83m²,Praha 1,25300000
3+kk,65m²,Praha 8,9600000
3+kk,104m²,Praha 8,14990000
2+kk,62m²,Praha 1,8950000
3+kk,73m²,Praha 4,6750000
2+kk,50m²,Praha 9,6990000
2+1,52m²,Praha 1,5150000
3+1,67m²,Praha 4,6400000
2+1,57m²,Praha 1,5514600
2+1,65m²,Praha 4,6988695
1+1,39m²,Praha 5,5818620
4+1,95m²,Praha 1,9300000
4+1,156m²,Praha 5,12999000
1+kk,30m²,Praha 4,4700000
3+1,74m²,Praha 5,7749000
3+1,70m²,Praha 9,6394192
3+1,82m²,Praha 8,8450000
3+kk,60m²,Praha 4,7496060
1+kk,36m²,Praha 4,4508120
3+1,187m²,Praha 1,13000000
