no_of_rooms,area_in_m2,locality,price_in_kc
4+kk,104m²,Praha 8,13739348
3+1,136m²,Praha 9,11990000
3+1,129m²,Praha 6,18499000
3+kk,81m²,Praha 1,8490000
3+kk,84m²,Praha 7,9000000
3+kk,87m²,Praha 7,9500000
4+kk,131m²,Praha 7,13500000
4+kk,83m²,Praha 9,9600000
3+1,72m²,Praha 5,5500000
3+kk,75m²,Praha 6,12750000
3+1,74m²,Praha 8,7250000
3+1,87m²,Praha 1,7600000
2+kk,83m²,Praha 1,6190000
2+kk,39m²,Praha 9,4700000
1+1,34m²,Praha 7,4570000
4+kk,170m²,Praha 9,11490000
2+kk,56m²,Praha 2,12100000
2+kk,58m²,Praha 2,9900000
3+1,62m²,Praha 8,6499000
4+kk,93m²,Praha 1,15000000
3+kk,66m²,Praha 9,6450000
3+kk,71m²,Praha 4,9800000
1+kk,22m²,Praha 5,3349000
1+kk,28m²,Praha 4,3350000
5+kk,224m²,Praha 5,33900000
1+kk,36m²,Praha 5,4990000
4+kk,92m²,Praha 5,12690000
3+kk,92m²,Praha 5,12490000
1+kk,36m²,Praha 2,4990000
3+kk,76m²,Praha 9,6935000
4+1,198m²,Praha 1,29000000
3+1,69m²,Praha 8,6900000
4+kk,147m²,Praha 5,18900000
2+kk,74m²,Praha 7,8500000
3+kk,100m²,Praha 8,11499000
3+kk,88m²,Praha 1,20000000
4+kk,162m²,Praha 7,29000000
4+kk,152m²,Praha 5,24200000
4+kk,122m²,Praha 3,15500000
3+1,72m²,Praha 5,6950000
1+kk,47m²,Praha 4,6490000
2+kk,73m²,Praha 3,9500000
3+kk,100m²,Praha 1,12400000
1+kk,37m²,Praha 1,6700000
4+1,98m²,Praha 1,17900000
2+1,53m²,Praha 9,6399000
1+kk,31m²,Praha 1,4090000
4+kk,91m²,Praha 4,9900000
5+kk,147m²,Praha 7,21950000
3+kk,77m²,Praha 3,9950000
3+kk,90m²,Praha 3,11850000
2+1,95m²,Praha 1,12500000
2+kk,61m²,Praha 1,7999000
4+kk,99m²,Praha 6,18987000
4+kk,262m²,Praha 9,16900000
